START
ROOM12 frame=522 fc=466
f=1522 fc=1466 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1532 fc=1476 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1542 fc=1486 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1552 fc=1496 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1562 fc=1506 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1572 fc=1516 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1582 fc=1526 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1592 fc=1536 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1602 fc=1546 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1612 fc=1556 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
