RUNNING
ROOM f=1 fc=65535 room=0 px=-1 py=-1 st=00 a0=00 a1=00 a2=00
TRACE f=320 fc=264 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=321 fc=265 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=322 fc=266 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=323 fc=267 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=324 fc=268 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=325 fc=269 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=326 fc=270 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=327 fc=271 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=328 fc=272 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=329 fc=273 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=330 fc=274 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=331 fc=275 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=332 fc=276 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=333 fc=277 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=334 fc=278 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=335 fc=279 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=336 fc=280 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=337 fc=281 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=338 fc=282 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=339 fc=283 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=340 fc=284 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=341 fc=285 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=342 fc=286 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=343 fc=287 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=344 fc=288 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=345 fc=289 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=346 fc=290 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=347 fc=291 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=348 fc=292 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=349 fc=293 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=350 fc=294 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=351 fc=295 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=352 fc=296 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=353 fc=297 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=354 fc=298 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=355 fc=299 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=356 fc=300 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=357 fc=301 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=358 fc=302 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=359 fc=303 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=360 fc=304 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
DONE
