RUNNING
TRACE frame=602 fc=549 room=1 a=false x=8 y=96 same=0
TRACE frame=603 fc=550 room=1 a=false x=8 y=96 same=0
TRACE frame=604 fc=551 room=1 a=false x=8 y=96 same=0
TRACE frame=605 fc=552 room=1 a=false x=8 y=96 same=0
TRACE frame=606 fc=553 room=1 a=false x=8 y=96 same=0
TRACE frame=607 fc=554 room=1 a=false x=8 y=96 same=0
TRACE frame=608 fc=555 room=1 a=false x=8 y=96 same=0
TRACE frame=609 fc=556 room=1 a=false x=8 y=96 same=0
TRACE frame=610 fc=557 room=1 a=false x=8 y=96 same=0
TRACE frame=611 fc=558 room=1 a=false x=8 y=96 same=0
TRACE frame=612 fc=559 room=1 a=false x=8 y=96 same=0
TRACE frame=613 fc=560 room=1 a=false x=8 y=96 same=0
TRACE frame=614 fc=561 room=1 a=false x=8 y=96 same=0
TRACE frame=615 fc=562 room=1 a=false x=8 y=96 same=0
TRACE frame=616 fc=563 room=1 a=false x=8 y=96 same=0
TRACE frame=617 fc=564 room=1 a=false x=8 y=96 same=0
TRACE frame=618 fc=565 room=1 a=false x=8 y=96 same=0
TRACE frame=619 fc=566 room=1 a=false x=8 y=96 same=0
TRACE frame=620 fc=567 room=1 a=false x=8 y=96 same=0
TRACE frame=621 fc=568 room=1 a=false x=8 y=96 same=0
TRACE frame=622 fc=569 room=1 a=false x=8 y=96 same=0
TRACE frame=623 fc=570 room=1 a=false x=8 y=96 same=0
TRACE frame=624 fc=571 room=1 a=false x=8 y=96 same=0
TRACE frame=625 fc=572 room=1 a=false x=8 y=96 same=0
TRACE frame=626 fc=573 room=1 a=false x=8 y=96 same=0
TRACE frame=627 fc=574 room=1 a=false x=8 y=96 same=0
TRACE frame=628 fc=575 room=1 a=false x=8 y=96 same=0
TRACE frame=629 fc=576 room=1 a=false x=8 y=96 same=0
TRACE frame=630 fc=577 room=1 a=false x=8 y=96 same=0
TRACE frame=631 fc=578 room=1 a=false x=8 y=96 same=0
TRACE frame=632 fc=579 room=1 a=false x=8 y=96 same=0
TRACE frame=633 fc=580 room=1 a=false x=8 y=96 same=0
TRACE frame=634 fc=581 room=1 a=false x=8 y=96 same=0
TRACE frame=635 fc=582 room=1 a=false x=8 y=96 same=0
TRACE frame=636 fc=583 room=1 a=false x=8 y=96 same=0
TRACE frame=637 fc=584 room=1 a=false x=8 y=96 same=0
TRACE frame=638 fc=585 room=1 a=false x=8 y=96 same=0
TRACE frame=639 fc=586 room=1 a=false x=8 y=96 same=0
TRACE frame=640 fc=587 room=1 a=false x=8 y=96 same=0
TRACE frame=641 fc=588 room=1 a=false x=8 y=96 same=0
TRACE frame=642 fc=589 room=1 a=false x=8 y=96 same=0
TRACE frame=643 fc=590 room=1 a=false x=8 y=96 same=0
TRACE frame=644 fc=591 room=1 a=false x=8 y=96 same=0
TRACE frame=645 fc=592 room=1 a=false x=8 y=96 same=0
TRACE frame=646 fc=593 room=1 a=false x=8 y=96 same=0
TRACE frame=647 fc=594 room=1 a=false x=8 y=96 same=0
TRACE frame=648 fc=595 room=1 a=false x=8 y=96 same=0
TRACE frame=649 fc=596 room=1 a=false x=8 y=96 same=0
TRACE frame=650 fc=597 room=1 a=false x=8 y=96 same=0
TRACE frame=651 fc=598 room=1 a=false x=8 y=96 same=0
TRACE frame=652 fc=599 room=1 a=false x=8 y=96 same=0
TRACE frame=653 fc=600 room=1 a=false x=8 y=96 same=0
TRACE frame=654 fc=601 room=1 a=false x=8 y=96 same=0
TRACE frame=655 fc=602 room=1 a=false x=8 y=96 same=0
TRACE frame=656 fc=603 room=1 a=false x=8 y=96 same=0
TRACE frame=657 fc=604 room=1 a=false x=8 y=96 same=0
TRACE frame=658 fc=605 room=1 a=false x=8 y=96 same=0
TRACE frame=659 fc=606 room=1 a=false x=8 y=96 same=0
TRACE frame=660 fc=607 room=1 a=false x=8 y=96 same=0
TRACE frame=661 fc=608 room=1 a=false x=8 y=96 same=0
TRACE frame=662 fc=609 room=1 a=false x=8 y=96 same=0
TRACE frame=663 fc=610 room=1 a=false x=8 y=96 same=0
