frame,pitch,env,vol,srcn
516,6422,127,90,7
517,6422,127,90,7
518,6422,127,90,7
519,6422,127,90,7
520,6422,127,90,7
521,6422,127,90,7
522,6422,127,90,7
523,6422,127,90,7
524,3819,127,54,7
525,3819,127,54,7
526,3819,127,54,7
527,3819,127,54,7
528,3819,127,54,7
529,3819,127,54,7
530,3819,127,54,7
531,3819,127,54,7
532,6422,127,54,7
533,6422,127,54,7
534,6422,127,54,7
535,6422,127,54,7
536,6422,127,54,7
537,6422,127,54,7
538,6422,127,54,7
539,6422,127,54,7
540,3819,127,36,7
541,3819,127,36,7
542,3819,127,36,7
543,3819,127,36,7
544,3819,127,36,7
545,3819,127,36,7
546,3819,127,36,7
547,3819,127,36,7
548,6422,127,36,7
549,6422,127,36,7
550,6422,127,36,7
551,6422,127,36,7
552,6422,127,36,7
553,6422,127,36,7
554,6422,127,36,7
555,6422,127,36,7
556,3819,127,18,7
557,3819,127,18,7
558,3819,127,18,7
559,3819,127,18,7
560,3819,127,18,7
561,3819,127,18,7
562,3819,127,18,7
563,3819,127,18,7
564,6422,127,18,7
565,6422,127,18,7
566,6422,127,18,7
567,6422,127,18,7
568,6422,127,18,7
569,6422,127,18,7
570,6422,127,18,7
571,6422,127,18,7
572,1909,127,90,7
573,1909,127,90,7
574,1909,127,90,7
575,1909,127,90,7
576,1909,127,90,7
577,1909,127,90,7
578,1909,127,90,7
579,3211,127,90,7
580,3211,127,90,7
581,3211,127,90,7
582,3211,127,90,7
583,3211,127,90,7
584,3211,127,90,7
585,3211,127,90,7
586,3211,127,90,7
587,1909,127,54,7
588,1909,127,54,7
589,1909,127,54,7
590,1909,127,54,7
591,1909,127,54,7
592,1909,127,54,7
593,1909,127,54,7
594,1909,127,54,7
595,3211,127,54,7
596,3211,127,54,7
597,3211,127,54,7
598,3211,127,54,7
599,3211,127,54,7
600,3211,127,54,7
